,title,author_info,rating,pros,cons,helpful
440,Don't fall for the image,"Jun 13, 2022 - Sales",1.0,- Cool office - Recognizable name on resume,"-Fake image of goodness. Genuinely feels like a cult. -Many think they're special because they work here. Don't be a sucker for really good corporate marketing like I was. They're selling you a dream. You don't need a company to feel special. -Lots of red tape and arbitrary, made-up rules -Low pay, shady comp plan -Very likely that you'll work under toxic, incompetent, hypocritical, tyrannical, self-serving leadership. You will be gaslit at this company. -Endless admin tasks -Cringe-worthy jargon -Manuel processes (funny, for a company that's all about improving business efficiency) -Incredibly messy CRM (funny, for a company that invented CRM) -Most reps have no idea what they sell and lean on SEs all day -Nonstop power games -You're just a cog in a machine",7 people found this review helpful
441,Good company but tough to move up,"May 9, 2022 - Sales Development Representative",5.0,"Excellent benefits, people and product","Too many people for competing to move up, makes it difficult for growth to happen",1 person found this review helpful
442,great culture,"May 12, 2022 - Account Executive",5.0,"support, flexibility, training and development,",just started and did not witness any cons yet,Be the first to find this review helpful
443,Very decent company and people,"May 12, 2022 - Software Engineer (MTS) in Cincinnati, OH",5.0,"People are nice, friendly. Will to help",No cons so far. Very satisfied with the compnay and work,Be the first to find this review helpful
444,Great Company!,"May 12, 2022 - Account Executive",5.0,- Great Benefits and Culture,I have no cons for this role.,Be the first to find this review helpful
445,A company that cares,"May 12, 2022 - Account Executive in Stamford, CT",5.0,"This company pays well, is generous with PTO and flex work schedules, and cares about giving back to the communities that we work in. They lead with values, and care more about their employees than they do about stock prices.","The company grew very quickly, so there are often too many cooks in the kitchen. It can be overwhelming, and sometimes I feel like a cog in a wheel.",Be the first to find this review helpful
446,Great company and team!,"May 17, 2022 - Business Value Services in New York, NY",5.0,"Interesting work, Highly collaborative environment, Great culture",Lots of solutions/offerings can make it difficult to keep up,Be the first to find this review helpful
447,Great Place to Work!,"May 17, 2022 - Network Engineer",5.0,Work Life Balance Clear Grow Path Unlimited PTO,Nothing to say. Everything is great.,Be the first to find this review helpful
448,Salesforce as a family!,"May 10, 2022 - Solution Engineer",5.0,"The selection process puts you at ease, the solutions you work on are innovative and stimulating, the company's values are 100% respected!",What should I say? N/A!,Be the first to find this review helpful
449,Company that cares for people,"Feb 28, 2022 - Anonymous Employee",5.0,- Great and pioneering philanthropy model - Takes care to ensure employees have work life-balance: Work smart not hard culture - I feel freedom to share ideas with peers and take creative liberties with my deliverables,"- Stock-based compensation portion of compensation lags behind other companies - As with any large company, there are pockets that haven't adopted the best parts of the culture. This is counteracted by freedom to switch teams without requiring approval from your own management chain",Be the first to find this review helpful
450,As advertised - great company to work for,"Apr 26, 2022 - Account Executive",5.0,"Relevant product, great company culture, treat their employees better than any company I've ever worked at","Many products in the salesforce ecosystem, as a salesperson, it can be difficult for my product to get the time of day",Be the first to find this review helpful
